Loading model from train_sessions\train_sess_2\trained_models\lenet_pruned_7220step_0.8477accuracy.torchmodel
Initial accuracy = 0.8427
Pruning Threshold = 0.2975656557828188
Number of pruned params = 0 out of 61706 total params
Fraction of params pruned = 0.0%
Fraction of zero params = 94.70553916961073%
Accuracy after pruning = 0.8437
Iter 0, loss = 0.5319442749023438
Iter 1, loss = 0.4455896317958832
Iter 2, loss = 0.3941485583782196
Iter 3, loss = 0.3098754584789276
Iter 4, loss = 0.4860709011554718
Iter 5, loss = 0.4753054082393646
Iter 6, loss = 0.4423522651195526
Iter 7, loss = 0.6252866387367249
Iter 8, loss = 0.3537224233150482
Iter 9, loss = 0.31864503026008606
Iter 10, loss = 0.548133373260498
Iter 11, loss = 0.44883787631988525
Iter 12, loss = 0.3846859335899353
Iter 13, loss = 0.5687981843948364
Iter 14, loss = 0.5096406936645508
Iter 15, loss = 0.3061254024505615
Iter 16, loss = 0.6552181839942932
Iter 17, loss = 0.646852433681488
Iter 18, loss = 0.3992425799369812
Iter 19, loss = 0.2529238760471344
Iter 20, loss = 0.4676286280155182
Iter 21, loss = 0.6281360983848572
Iter 22, loss = 0.4360750913619995
Iter 23, loss = 0.47926992177963257
Iter 24, loss = 0.29592278599739075
Iter 25, loss = 0.23807822167873383
Iter 26, loss = 0.4829891324043274
Iter 27, loss = 0.3479975759983063
Iter 28, loss = 0.37892571091651917
Iter 29, loss = 0.2751345634460449
Iter 30, loss = 0.423183798789978
Iter 31, loss = 0.41979292035102844
Iter 32, loss = 0.4681871831417084
Iter 33, loss = 0.6791326999664307
Iter 34, loss = 0.6448508501052856
Iter 35, loss = 0.7334856390953064
Iter 36, loss = 0.36156782507896423
Iter 37, loss = 0.47521212697029114
Iter 38, loss = 0.35989928245544434
Iter 39, loss = 0.4865397810935974
Iter 40, loss = 0.358543336391449
Iter 41, loss = 0.5326383709907532
Iter 42, loss = 0.4769139587879181
Iter 43, loss = 0.4908680021762848
Iter 44, loss = 0.33678507804870605
Iter 45, loss = 0.4124758243560791
Iter 46, loss = 0.6210581064224243
Iter 47, loss = 0.6625087857246399
Iter 48, loss = 0.39180582761764526
Iter 49, loss = 0.6989978551864624
Iter 50, loss = 0.5272529125213623
Iter 51, loss = 0.5054458975791931
Iter 52, loss = 0.3946757912635803
Iter 53, loss = 0.5762119293212891
Iter 54, loss = 0.5262086987495422
Iter 55, loss = 0.4841596186161041
Iter 56, loss = 0.503592848777771
Iter 57, loss = 0.5017037391662598
Iter 58, loss = 0.7639417052268982
Iter 59, loss = 0.49737751483917236
Iter 60, loss = 0.504964292049408
Iter 61, loss = 0.49719947576522827
Iter 62, loss = 0.5233027338981628
Iter 63, loss = 0.42266884446144104
Iter 64, loss = 0.511933445930481
Iter 65, loss = 0.5234958529472351
Iter 66, loss = 0.5702827572822571
Iter 67, loss = 0.4019807279109955
Iter 68, loss = 0.48517706990242004
Iter 69, loss = 0.3691045343875885
Iter 70, loss = 0.46982836723327637
Iter 71, loss = 0.4441433250904083
Iter 72, loss = 0.5649857521057129
Iter 73, loss = 0.4866238832473755
Iter 74, loss = 0.39795392751693726
Iter 75, loss = 0.5950481295585632
Iter 76, loss = 0.3845263421535492
Iter 77, loss = 0.5983221530914307
Iter 78, loss = 0.5439358353614807
Iter 79, loss = 0.5528262853622437
Iter 80, loss = 0.3321611285209656
Iter 81, loss = 0.5755537748336792
Iter 82, loss = 0.6382066607475281
Iter 83, loss = 0.5134187936782837
Iter 84, loss = 0.43183624744415283
Iter 85, loss = 0.6140203475952148
Iter 86, loss = 0.4384571611881256
Iter 87, loss = 0.3715250790119171
Iter 88, loss = 0.4000049829483032
Iter 89, loss = 0.6297959685325623
Iter 90, loss = 0.521355390548706
Iter 91, loss = 0.4478057026863098
Iter 92, loss = 0.5025522708892822
Iter 93, loss = 0.49805697798728943
Iter 94, loss = 0.4288964867591858
Iter 95, loss = 0.5142852067947388
Iter 96, loss = 0.3766549825668335
Iter 97, loss = 0.6023016571998596
Iter 98, loss = 0.3896404802799225
Iter 99, loss = 0.635890007019043
Iter 100, loss = 0.5361984968185425
Iter 101, loss = 0.43004941940307617
Iter 102, loss = 0.6070325970649719
Iter 103, loss = 0.9160250425338745
Iter 104, loss = 0.3804885745048523
Iter 105, loss = 0.6236017942428589
Iter 106, loss = 0.41639938950538635
Iter 107, loss = 0.4352012872695923
Iter 108, loss = 0.5635192394256592
Iter 109, loss = 0.42953968048095703
Iter 110, loss = 0.4769997298717499
Iter 111, loss = 0.5185561776161194
Iter 112, loss = 0.33891046047210693
Iter 113, loss = 0.5054670572280884
Iter 114, loss = 0.49239304661750793
Iter 115, loss = 0.5659630298614502
Iter 116, loss = 0.42661434412002563
Iter 117, loss = 0.6275056600570679
Iter 118, loss = 0.45688045024871826
Iter 119, loss = 0.4063677489757538
Iter 120, loss = 0.45114487409591675
Iter 121, loss = 0.5187511444091797
Iter 122, loss = 0.515933632850647
Iter 123, loss = 0.5781491994857788
Iter 124, loss = 0.6784548163414001
Iter 125, loss = 0.49209585785865784
Iter 126, loss = 0.45059436559677124
Iter 127, loss = 0.6871310472488403
Iter 128, loss = 0.488937646150589
Iter 129, loss = 0.6557783484458923
Iter 130, loss = 0.5861676931381226
Iter 131, loss = 0.3885324001312256
Iter 132, loss = 0.5023770332336426
Iter 133, loss = 0.42762497067451477
Iter 134, loss = 0.599782407283783
Iter 135, loss = 0.6143737435340881
Iter 136, loss = 0.41282373666763306
Iter 137, loss = 0.6475715637207031
Iter 138, loss = 0.4741669297218323
Iter 139, loss = 0.5472204089164734
Iter 140, loss = 0.578463077545166
Iter 141, loss = 0.47298991680145264
Iter 142, loss = 0.37405142188072205
Iter 143, loss = 0.42059507966041565
Iter 144, loss = 0.3580472469329834
Iter 145, loss = 0.5645138621330261
Iter 146, loss = 0.7477444410324097
Iter 147, loss = 0.44864538311958313
Iter 148, loss = 0.523923933506012
Iter 149, loss = 0.400370329618454
Iter 150, loss = 0.5515806078910828
Iter 151, loss = 0.4280586540699005
Iter 152, loss = 0.3645356595516205
Iter 153, loss = 0.46110478043556213
Iter 154, loss = 0.6079747676849365
Iter 155, loss = 0.5400768518447876
Iter 156, loss = 0.6082256436347961
Iter 157, loss = 0.6810124516487122
Iter 158, loss = 0.5969388484954834
Iter 159, loss = 0.527869701385498
Iter 160, loss = 0.28325483202934265
Iter 161, loss = 0.33405765891075134
Iter 162, loss = 0.40859895944595337
Iter 163, loss = 0.5598998665809631
Iter 164, loss = 0.460904598236084
Iter 165, loss = 0.5072367191314697
Iter 166, loss = 0.6717244386672974
Iter 167, loss = 0.3559987246990204
Iter 168, loss = 0.5189160108566284
Iter 169, loss = 0.6918776035308838
Iter 170, loss = 0.3632652461528778
Iter 171, loss = 0.3079892098903656
Iter 172, loss = 0.5013092160224915
Iter 173, loss = 0.41944143176078796
Iter 174, loss = 0.5702645778656006
Iter 175, loss = 0.5238203406333923
Iter 176, loss = 0.47978031635284424
Iter 177, loss = 0.4445003867149353
Iter 178, loss = 0.43301641941070557
Iter 179, loss = 0.6432188749313354
Iter 180, loss = 0.5263300538063049
Iter 181, loss = 0.42601892352104187
Iter 182, loss = 0.3462948501110077
Iter 183, loss = 0.3476908504962921
Iter 184, loss = 0.4324718713760376
Iter 185, loss = 0.3033756613731384
Iter 186, loss = 0.6191680431365967
Iter 187, loss = 0.3836592733860016
Iter 188, loss = 0.43370693922042847
Iter 189, loss = 0.49267837405204773
Iter 190, loss = 0.5656959414482117
Iter 191, loss = 0.5808423757553101
Iter 192, loss = 0.4320635497570038
Iter 193, loss = 0.5359039306640625
Iter 194, loss = 0.4551757276058197
Iter 195, loss = 0.38664066791534424
Iter 196, loss = 0.43754473328590393
Iter 197, loss = 0.3605692684650421
Iter 198, loss = 0.7264811396598816
Iter 199, loss = 0.44903454184532166
Iter 200, loss = 0.6054196357727051
Iter 201, loss = 0.3969886004924774
Iter 202, loss = 0.4849833846092224
Iter 203, loss = 0.5515425801277161
Iter 204, loss = 0.6814900636672974
Iter 205, loss = 0.30419087409973145
Iter 206, loss = 0.3920930325984955
Iter 207, loss = 0.7441797852516174
Iter 208, loss = 0.3300807476043701
Iter 209, loss = 0.5208746790885925
Iter 210, loss = 0.48011693358421326
Iter 211, loss = 0.5295438766479492
Iter 212, loss = 0.5281659960746765
Iter 213, loss = 0.49156123399734497
Iter 214, loss = 0.7960281372070312
Iter 215, loss = 0.4893808960914612
Iter 216, loss = 0.5031790137290955
Iter 217, loss = 0.4825345277786255
Iter 218, loss = 0.5132656097412109
Iter 219, loss = 0.43628963828086853
Iter 220, loss = 0.5595671534538269
Iter 221, loss = 0.4840840697288513
Iter 222, loss = 0.41410595178604126
Iter 223, loss = 0.3940465748310089
Iter 224, loss = 0.51996248960495
Iter 225, loss = 0.5618817806243896
Iter 226, loss = 0.4163057506084442
Iter 227, loss = 0.5031305551528931
Iter 228, loss = 0.7110960483551025
Iter 229, loss = 0.44053229689598083
Iter 230, loss = 0.47549012303352356
Iter 231, loss = 0.5612941384315491
Iter 232, loss = 0.5144497156143188
Iter 233, loss = 0.4927218556404114
Iter 234, loss = 0.515705943107605
Iter 235, loss = 0.7871816158294678
Iter 236, loss = 0.4848576486110687
Iter 237, loss = 0.5059221982955933
Iter 238, loss = 0.5029621720314026
Iter 239, loss = 0.62489914894104
Iter 240, loss = 0.7853718996047974
Iter 241, loss = 0.6410406827926636
Iter 242, loss = 0.45408374071121216
Iter 243, loss = 0.37472429871559143
Iter 244, loss = 0.5523146986961365
Iter 245, loss = 0.43221861124038696
Iter 246, loss = 0.5117031335830688
Iter 247, loss = 0.383322149515152
Iter 248, loss = 0.5182961821556091
Iter 249, loss = 0.30843406915664673
Iter 250, loss = 0.33625438809394836
Iter 251, loss = 0.5791780352592468
Iter 252, loss = 0.5588892698287964
Iter 253, loss = 0.4964789152145386
Iter 254, loss = 0.4253872036933899
Iter 255, loss = 0.5805782079696655
Iter 256, loss = 0.5741879343986511
Iter 257, loss = 0.4523765742778778
Iter 258, loss = 0.41296207904815674
Iter 259, loss = 0.44170260429382324
Iter 260, loss = 0.537621021270752
Iter 261, loss = 0.4374774992465973
Iter 262, loss = 0.3447192907333374
Iter 263, loss = 0.7676981687545776
Iter 264, loss = 0.3563551902770996
Iter 265, loss = 0.3598198890686035
Iter 266, loss = 0.6686890125274658
Iter 267, loss = 0.5512006282806396
Iter 268, loss = 0.5247547030448914
Iter 269, loss = 0.7658454775810242
Iter 270, loss = 0.4313373863697052
